Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	0.6272727	0.4571742	1.0	0.0	45.2	0.02987804	0.039904278	0.15055618	-0.005689524	14000	-0.31063074	0.018016782	0.0004912913	-0.0029207738	1.5531536	0.01609657	0.536	4.0	24.536153078079224
28	0.28787878	0.4130004	1.0	0.0	38.0	0.124525145	0.064075336	0.28395772	0.018456712	14500	-0.30123848	0.009391905	-0.009528339	0.00014376175	1.5061923	0.00021885586	0.104	15.0	25.287614583969116
29	0.35664335	0.43005574	1.0	0.0	35.23077	0.12166081	0.08641124	0.28663608	0.014525451	15000	-0.30340236	0.011068888	-0.008256495	-0.0005411869	1.5170118	-0.0006671722	0.2	15.0	26.010054111480713
30	0.34965032	0.43503025	1.0	0.0	35.692307	0.08539897	0.07853833	0.26671422	0.018148422	15500	-0.2947691	0.01280485	-0.00707981	-0.0012631016	1.4738455	0.00761231	0.632	15.0	26.752536296844482
31	0.52727276	0.47377503	1.0	0.0	45.2	0.08056263	0.084380224	0.30884182	-0.012465425	16000	-0.30550495	0.011214015	-0.001781702	-0.00074269436	1.5275248	0.012111677	0.364	15.0	27.371301889419556
32	0.5702479	0.4717264	1.0	0.0	41.272728	0.114510745	0.071689315	0.39418864	0.057513643	16500	-0.30123687	0.014330999	-0.01054877	-0.0014268011	1.5061843	0.0019935109	0.058	15.0	28.05715274810791
33	0.44545454	0.45354435	1.0	0.0	50.0	0.24369814	0.15987566	0.5004191	0.025967874	17000	-0.27400532	0.010535272	-0.0041289628	-0.002436787	1.3700266	0.0028626076	0.418	15.0	28.615760803222656
34	0.6272727	0.4571742	1.0	0.0	50.0	0.137373	0.13753377	0.43289462	-0.011876084	17500	-0.2952273	0.01176441	-0.0043750107	-0.000285523	1.4761362	0.004060483	0.186	15.0	29.158867120742798
35	0.6363636	0.46079618	1.0	0.0	35.23077	0.07332343	0.11348214	0.411193	-0.02119799	18000	-0.29563463	0.015556136	-0.004035771	-0.0019676453	1.4781729	0.015314233	0.138	1.0	29.778836250305176
36	0.4965035	0.4684793	1.0	0.0	35.384617	0.12227737	0.13796927	0.54509914	0.0034066513	18500	-0.29195207	0.011730396	-0.0098745525	-0.00087900367	1.4597602	0.0063565006	0.4	15.0	30.519234657287598
37	0.6181818	0.46851265	1.0	0.0	45.2	0.06596705	0.14812398	0.62711567	-0.036488675	19000	-0.3023529	0.009710858	-0.006046355	0.0017676335	1.5117645	0.006797167	0.208	15.0	31.09333300590515
38	0.7181818	0.43112385	1.0	0.0	50.0	0.087574236	0.10409257	0.57665724	0.0016492084	19500	-0.30174518	0.010311117	-0.006698221	-0.002223841	1.5087256	0.015003318	0.474	15.0	31.653472661972046
39	0.8181818	0.36363634	1.0	0.09090909	50.0	0.0810671	0.19806771	0.7176059	-0.067443274	20000	-0.2985472	0.008701061	-0.0040583313	-0.00054394733	1.492736	0.00429882	0.066	15.0	32.212132692337036
40	0.9090909	0.27272728	1.0	0.09090909	50.0	0.073565476	0.13089183	0.7553997	-0.03047438	20500	-0.30218294	0.007125544	-0.0024401248	-0.0016777385	1.5109147	0.019300649	0.532	1.0	32.89568734169006
41	1.0	0.0	1.0	1.0	50.0	-0.08111952	0.14358881	0.7295004	-0.18833122	21000	-0.30929294	0.005954339	0.00366354	-0.0038105466	1.5464648	0.057097223	0.786	3.0	33.42010998725891
42	0.6363636	0.46079618	1.0	0.0	35.923077	0.121633336	0.3529044	1.0563346	-0.09713521	21500	-0.2764037	0.022254843	0.010169029	-0.008112039	1.3820184	0.020476213	0.69	2.0	34.081218957901
43	0.58441556	0.48069495	1.0	0.0	34.92857	0.047998045	0.19863467	0.76363987	-0.050412975	22000	-0.29991347	0.018346	0.012858719	-0.0035033925	1.499567	0.03673698	0.378	1.0	34.7653124332428
44	0.6293706	0.4696261	1.0	0.0	35.23077	0.012989013	0.14094219	0.50613475	-0.08249721	22500	-0.28404418	0.012391787	-0.0069750547	-0.0013306485	1.420221	0.037691414	0.268	2.0	35.47096395492554
45	0.6433566	0.45168543	1.0	0.0	35.23077	0.01396778	0.13705148	0.62350553	-0.09047159	23000	-0.29997388	0.01006383	0.00422886	-0.00089444965	1.4998695	0.01847664	0.456	1.0	36.06931781768799
