Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	0.15056819	0.25940576	0.75	0.0	2.7556818	0.15968576	0.07196175	0.42025855	0.019436866	14000	-0.25640962	0.037564263	-0.0023060143	-0.007286817	1.2820479	0.017315477	0.506	9.0	169.78091859817505
28	0.17837837	0.2687661	0.75	0.0	2.6972973	0.14521955	0.12590949	0.5473197	-0.08691033	14500	-0.23783089	0.039112482	-0.0075740814	-0.002296608	1.1891544	0.01578339	0.442	10.0	176.07929801940918
29	0.18938391	0.29009742	1.0	0.0	2.572165	0.11452746	0.1601981	0.6841236	-0.1499431	15000	-0.21685463	0.04632814	-0.012346804	-0.003118731	1.0842732	0.01152952	0.328	15.0	182.89926075935364
30	0.187404	0.27426776	0.75	0.0	2.299539	0.18560983	0.16772728	0.734145	-0.10084463	15500	-0.20185174	0.037225902	-0.011918798	-0.0013883412	1.0092586	0.009812669	0.246	15.0	190.17718768119812
31	0.22107844	0.29138806	1.0	0.0	2.9352942	0.109678924	0.19165015	0.79464847	-0.1781111	16000	-0.2113125	0.051942464	-0.012120381	-0.00440472	1.0565624	0.01169005	0.282	15.0	196.16005897521973
32	0.22283952	0.28976536	1.0	0.0	2.3101852	0.2316249	0.15466614	0.8424684	-0.025384776	16500	-0.19647099	0.049646117	-0.012693033	-0.0023954324	0.9823549	0.008655086	0.34	15.0	203.63341641426086
33	0.2031636	0.29107794	1.0	0.0	2.3101852	0.20272845	0.19334744	0.97005415	-0.10756312	17000	-0.20834053	0.0525601	-0.009030461	-0.0017734505	1.0417026	0.00697246	0.27	15.0	210.97707271575928
34	0.21457364	0.29666016	1.0	0.0	2.3255813	0.19428302	0.19010907	0.94090044	-0.12548041	17500	-0.20200507	0.06423074	0.014950499	-0.0022261254	1.0100254	0.03557032	0.6	1.0	218.10631394386292
35	0.22602041	0.288327	1.0	0.0	2.5306122	0.21043049	0.17960058	0.933134	-0.05149965	18000	-0.20870711	0.04704485	0.051085696	-0.0025631674	1.0435354	0.03456189	0.632	1.0	224.79902911186218
36	0.23456791	0.28666463	1.0	0.0	2.6455026	0.18167727	0.16530783	0.7668754	-0.09972692	18500	-0.19064854	0.039008975	-0.011830151	-0.0010724813	0.95324254	0.0031485748	0.05	15.0	231.0738070011139
